0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356
0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057
0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002
0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534
0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038
0.531,0.581,1,-5.801,1,0.101,0.0107,1.62e-05,0.101,0.591,137.776
0.749,0.814,5,-3.769,0,0.0404,0.156,0,0.0673,0.715,119.964
0.614,0.684,0,-5.79,1,0.157,0.247,0,0.0976,0.258,156.85
0.885,0.762,8,-5.513,0,0.216,0.219,0,0.162,0.605,138.058
0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918
0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202
0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992
0.906,0.382,10,-12.89,0,0.269,0.18,0,0.113,0.391,104.025
0.919,0.622,1,-7.384,1,0.0997,0.228,4.24e-06,0.122,0.424,140.022
0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211
0.736,0.81,5,-6.354,1,0.0906,0.077,0,0.0523,0.387,125.011
0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,103.952
0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999
0.505,0.428,5,-5.604,1,0.221,0.489,0,0.0977,0.618,175.813
0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062
0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958
0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003
0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061
0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038
0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991
0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642
0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46
0.887,0.765,2,-5.207,1,0.0669,0.00915,0.000872,0.0907,0.456,102.958
0.626,0.516,8,-6.05,1,0.0388,0.4,0,0.142,0.769,153.653
0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966
0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979
0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001
0.659,0.625,4,-2.253,1,0.045,0.0644,0,0.582,0.442,88.042
0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911
0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.799,92.01
0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284
0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.975
0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01
0.847,0.678,9,-8.635,1,0.109,0.0669,0,0.274,0.811,97.984
0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941
0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908
0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993
0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961
0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958
0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026
0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991
0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08
0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017
0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012
0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962
0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39
0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971
0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986
0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056
0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977
0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073
0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026
0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044
0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989
0.736,0.802,0,-4.759,1,0.0864,0.468,0,0.094,0.675,144.005
0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033
0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962
0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995
0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618
0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083
0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034
